permalink,published_at,_date-modified,title,description,body,,,,,image,
104,2007-01-15 20:22:36,2007-01-17 20:45:37,The News is History's First Draft...,"<table border=""0"" cellspacing=""0"" cellpadding=""0""><tr><td><embed src=""http://www.worldtimeserver.com/clocks/wtsclock001.swf?color=FF9900&wtsid=US-TX"" width=""200"" height=""200"" wmode=""transparent"" type=""application/x-shockwave-flash"" /></td></tr><tr><td><h2 align=""center"">Palo  Duro  Canyon</h2></td></tr></table>",,,,,,NULL,
106,2007-01-16 22:17:36,2007-03-08 20:05:06,Tule Canyon,,"At the Battle of Palo Duro, Mackenzie's troops captured some 1500-1800 Commanche horses, and drove them into Tule Canyon. They were slaughtered here, in the greatest (recorded) horse massacre in American history. This broke the back of Commanche resistance and eventually drove them, the greatest horsemen of the Plains, back into Indian Territory and on to the Reservation.",,,,,106_t.jpg,
107,2007-01-16 22:25:33,2007-03-08 19:35:53,Equus: In Memory of the Horses,,"After dispatching the Commanche's horses, Mackenzie's troops stacked their remains into a <i>mountain</i> of bleaching bones as a symbolic warning. It stood as a warning in Tule Canyon for decades, until it was dismantled and sold off as fertilizer. (Photo Courtesy of <a href=""http://www.texasfinearts.com/"" title=""Bill Meuller"" target=""_blank"" > Bill Mueller </a>)",,,,,107_t.jpg,
108,2007-01-17 20:41:21,2007-03-29 23:28:12,The Coming of the Brand,,"In 1875, Goodnight, and a Mexican guide who knew it, first set eyes on Palo Duro Canyon. In 1876, he drives in 1200 head of cattle from his failed Colorado ranch and leaves in search of backing. In 1877, John Adair makes the JA possible, securing the first phase of the mega-loan from the Edinburgh-based Texas Land & Mortgage Co. that bankrolls the project. Since then, Adair's initials have seared the hides of hundreds of thousands of cattle. The practice continues today, on a far lesser scale, at the working JA Ranches in Texas and Colorado. (Courtesy of Panhandle-Plains History Museum, Canyon Texas)",,,,,108_t.jpg,
109,2007-01-20 02:09:53,2007-01-20 09:29:42,"""Unfolding like the book of Genesis...""","Charlie Goodnight's dream is to ranch the Palo Duro. Hitched to Goodnight's voracious savvy, John Adair's voracious wealth makes it possible. Goodnight's nephew, poet-songwriter Andy Wilkinson, portrays the ""man born thirsty for this place""...","He ran him the last mile, then pulled up short
Of the brittle rim, loosed the reins and eased
Down off the saddle, the jittery steed
Dancing backwards from the edge of the earth.
Unfolding like the book of Genesis,
Canyon walls and buttes and mesas, hoo-doos
And arches and mountains of fallen rock,
The bright rivers weaving in, weaving out,
All stacked and jumbled, stretched away,
In an endless draught for the parched eyes
Of a man born thirsty for this place.

<a href=""http://www.andywilkinson.net/cglnwrit.html"" title=""Andy Wilkinson"" target=""_blank""> Andy Wilkinson </a>
<i>Charles Goodnight, First Looking into Palo Duro Canyon</i>
2002",,,,,NULL,
111,2007-01-20 02:26:05,2007-04-27 09:21:57,"Goodnight, Charlie",,"Goodnight's extraordinary journey was entwined with the Buffalo's. Some call him ""<i>the</i> savior of the buffalo"" for preserving a few for breeding, this after having them driven out of his section of Palo Duro Canyon. Others credit his wife Molly for saving a few. They became the basis of today's Texas State herd. This aspect of the Goodnight legend remains a touchy issue, open to debate. 

The barely remembered ""buffalo savior"" of the northern plains was South Dakota's Frederick Dupree, a French fur trader who came to live near Fort Pierre in 1838, married a Lakota woman, and became a rancher on the Cheyenne River. On the last great buffalo hunt in 1883, he and his sons caught five buffalo calves and took them to their ranch. They turned them loose with the cattle for the winter, grew up and the stayed with the cattle.  On Dupree's death, James (""Scotty"") Philip bought the herd and moved them to his ranch near Fort Pierre. He built a fence around the herd and by 1914, there were four hundred buffalo on his ranch. In 19xx, the state of South Dakota bought 36 buffalo from Philip to start a herd, placing them in Custer State Park.

 

(Image is Courtesy of Panhandle-Plains History Museum, Canyon Texas.)",,,,,111_t.jpg,
112,2007-01-20 08:37:33,2007-04-15 09:07:58,"On Staked Plains: ""Until the Wind is a River no more...""","The ""Llano Estacado"" - Staked Plains - is the name affixed by the Conquistadors to an unquenchable western vastness. They were far from <i>empty</i> plains. Andy Wilkinson's song-poem conjures some of its spirit(s)...","The wind is the oldest river, rhythmic,
Unceasing, infinite, the pulse of God.
Where time is the blood in which tghe Lano
is washed, where the horizon is the line
Cut from foreever by tghe eddies
Of this current, spinning and swriling
On the nether edge of sight, patient as starlight,
There we ride like Coronado, his breath
At our backs and our eyes screwed to his dreams
Of shining cities floating over the prairie.
There, like Quanah Parker, we are waves
On this river, riding ponies like fishes,
Sleek, quick, nimble. And, like Goodnight,
There we ride with the wind in our faces
Until we find its roots, until the last
Gust lies still and settled on the fences,
Until the wind is a river no more.

<a href=""http://www.andywilkinson.net/cglnwrit.html"" title=""Andy Wilkinson"" target=""_blank""> Andy Wilkinson </a>
<i>Horseback on the Llano Estacado</i>
2002",,,,,NULL,
113,2007-01-20 09:14:07,2007-02-05 10:33:31,"""If God believed in fences, We would not have the wind.""","The Adair-Goodnight Project barbed-wires the land. In the Panhandle and beyond, it first eclipses the Indian's hunting grounds, then the Cowboy's free range as well. Andy Wilkinson's song-poem for Standing Bear laments the passing...","Mi compadre, Buenas Noches,
Goodnight, my old friend,
I am wandering in my own land
And I can't get home again.
We have lost the buffalo
Will we be lost like them?
Mi compadre, Buenas Noches,
Goodnight, my old friend.

There's only one Great Spirit
For all the tribes of men;
If He believed in hatred,
We would not be friends;
If he believed in fences,
We would not have the wind,
No, if God believed in fences,
We would not have the wind.

I asked for help in Clarendon,
I said ""I am Standing Deer.
But the trail to my pueblo
You've hidden in barbed-wires.
I cannot travel by the sun,
I cannot use the stars,
For the trail to my pueblo
You've hidden in barbed-wires.

Mi compadre, Buenas Noches,
Goodnight, my old friend,
I am wandering in my own land
And I can't get home again.
We have lost the buffalo
Will we be lost like them?
Mi compadre, Buenas Noches,
Goodnight, my old friend.

<a href=""http://www.andywilkinson.net/cglnwrit.html"" title=""Andy Wilkinson"" target=""_blank""> Andy Wilkinson </a>
<i>Standing Bear's Lament</i>
2002",,,,,NULL,
114,2007-01-20 09:43:06,2007-02-10 10:48:27,Whose John Adair?,,"Known back home as ""Black Jack"" but in Texas as ""<a href=""http://www.tsha.utexas.edu/handbook/online/articles/JJ/apj1.html"" title=""an English aristocrat"" target=""_blank"">an English aristocrat</a>,"" Ireland's own (or disowned) John George Adair came to the Panhandle in 1877 with his wife Cornelia and Charles Goodnight to hands-on establish the JA Ranch. After his death in 1885, Mrs. Adair and Goodnight continue the enterprise until 1887, and then part ways.",,,,,114_t.jpg,
115,2007-01-20 09:52:49,2007-01-28 10:20:49,Adair's Gravesite,,"Here lies the JA Ranch's founder and owner, the so-called <a href=""http://www.tsha.utexas.edu/handbook/online/articles/JJ/apj1.html"" title=""English aristocrat"" target =""_blank"">""English aristocrat""</a> named John Adair, in his native Irish soil. Far eclipsed by Goodnight's shadow, he's been all of a footnote to Texas history.",,,,,115_t.jpg,
116,2007-01-20 09:53:24,2007-01-30 06:15:51,Goodnight's Gravesite,,"Here lies Charlie Goodnight, the man and Texas icon. ",,,,,116_t.jpg,
140,2007-02-04 21:38:58,2007-03-28 19:02:18,"""When We Settle Down, We Grow Pale and Die...""","Satanta, the revered Kiowa chief, fought, then tried, then died on the white road. As 1870 approaches, he speaks his poignant truths to Indian Agent Lawrie Tatum, a well-meaning but ultimately powerless Indian Agent....","I have heard that you intend to settle us on a reservation near the mountains. I don't want to settle. I love to roam over the prairies. There I feel free and happy, but when we settle down we grow pale and die. I have laid aside my lance, bow, and shield, and yet I feel safe in your presence. I have told you the truth. I have no little lies hid about me, but I don't know how it is with the commissioners. Are they as clear as I am? A long time ago this land belonged to our fathers; but when I go up to the river I see soldiers on its banks. These soldiers cut down my timber; they kill my buffalo; and when I see that, my heat feels like bursting; I feel sorry.... Has the white man become a child that he should recklessly kill and not eat? When the red men slay game, they do so that they may live and not starve.

Satanta
Chief of the Kiowas
Circa 1870",,,,,NULL,
119,2007-01-24 12:11:25,2007-04-12 14:30:42,,,"<h3>Website By</h3>readymade99 and Robert Spiegelman

<h3>My Education, with special thanks to:</h3> Betty Bustos, Panhandle Plains Historical Museum, Canyon, Texas
Larry McMurtry, Archer City, Texas
Ninia Ritchie, JA Ranch, Texas
Dee Brown. <i>Bury My Heart at Wounded Knee</i>.
J. Evetts Haley. <i>Charles Goodnight, Cowman and Plainsman</i>.
P.D. Robertson & R.L. Robertson. <i>Cowman's Country</i>.

<h3>Side Panel Photo</h3>Original untouched image of Palo Duro Canyon displayed by permission/courtesy of the Texas Parks and Wildlife Department (TPWD). Website: www.tpwd.state.tx.us/. Image copied 1-21-07. <u>Note:</u> Neither this website, nor the information or images as it presents them, are endorsed by the State of Texas or by TPWD.

<h3>""Texts"" Section: The Song-Poems</h3>""Horseback on the Llano Estacado,"" ""Standing Bear's Lament"" and ""Charles Goodnight, First Looking into Palo Duro Canyon"" are included by the kind permission of songwriter/performer Andy Wilkinson. Excerpted from his <i>Charlie Goodnight's Last Night</i>. Visit Andy's engaging Website: <a href=""http://www.andywilkinson.net"" title=""Andy Wilkinson.net"" target=""_blank""> Andy Wilkinson Online</a>. 

<h3>Gallery: Tule Canyon Photo</h3>Captioned ""Equus"" and appearing atop the ""About"" page, it's here courtesy of Bill Mueller</i>. Visit Bill's fine website: <a href=""http://www.texasfinearts.com/"" title=""TexasFineArts.com"" target=""_blank""> Texas Fine Arts.com</a>. 

<h3>Red River (Mackenzie's Massacre, 1874)</h3> A commissioned painting by visionary artist David Sprecher.
[c]Copyright, Robert Spiegelman, 2007. Visit Dave's website at <a href=""http://www.davidsprecher.org/"" title=""DavidSprecher.org"" target=""_blank""> David Sprecher.org</a>

<h3>Cows In Sunset</h3> Image by a visionary artist-illustrator whose work also adorns our www.sullivanclinton.com. A must visit at <a href=""http://www.wallhagen.com/"" title=""Wallhagen.com"" target=""_blank""> Wallhagen Art</a>.",,,,,NULL,
121,2007-01-26 09:01:00,2007-04-17 14:24:02,JA Ranch Exhibition Opens,"An homage to the JA Ranch will open at the Panhandle Plains Historical Museum, Canyon Texas. Curated by Bill Green, it will open February 17th and run through August 19th. <a href=""www.panhandleplains.org/collection/special_ja_ranch.php"" title=""To PHPM Website"" target=""_blank""><b>To PHPM Website</b></a>",,,,,,NULL,
126,2007-01-26 17:50:45,2008-08-13 18:02:31,,,"<center><b>DISPOSSESSION AND ITS DISCONTENTS</b></center>
<center><b><a href=""http://www.thenandnow.us"" target=""blank"">Welcome to <i>Then & Now</i>: Spiegelman's Web Trilogy</a></b></center>
<center><b> _ _ _ _ _ _ _  _  _  _  _ </b></center>
<center><b>""COWBOYS & INDIANS""  ~  OUR <i>LIVING</i> LEGACY</b></center>
<b><a href=""http://www.psi.edu/coronado/coronadosjourney2.html"" target=""blank"">Conquest I: Coronado's Trek (Planetary Science Institute)</a></b> 

<b><a href=""http://www.texasbeyondhistory.net/redriver/index.html"" target=""blank"">Conquest II: The Red River War   (Texas Beyond History)</a></b>

<b><a href=""http://www.ranches.org/JAranch.htm"" target=""blank"">The JA Ranch  (Ranches.org)</a></b>

<b><a href=""http://www.tsha.utexas.edu/handbook/online/articles/JJ/apj1.html"" target=""blank"">History of the JA Ranch (Texas History Handbook/Online)</a></b>

<b><a href=""http://www.panhandleplains.org/collection/special_ja_ranch.php"" target=""blank"">2007 JA Ranch Exhibition (Panhandle-Plains Hist Museum)</a></b>

<b><a href=""http://panhandleplains.blogspot.com/"" target=""blank"">View the Blog for the 2007 JA Ranch Exhibition (Panhandle-Plains Hist Museum)</a></b>

<b><a href=""http://images.google.ca/images?svnum=10&hl=en&q=Charles+Goodnight&btnG=Search
"" target=""blank"">Charles Goodnight Images  (via Google)</a></b>

<b><a href=""http://www.andywilkinson.net/cglnwrit.html"" target=""blank"">Charlie Goodnight's Last Night (Andy Wilkinson)</a></b>

<center><b> _ _ _ _ _ _ _  _  _  _  _ </b></center>
<b><a href=""http://www.tsl.state.tx.us/exhibits/indian/index.html"" target=""blank"">Indian Relations in Texas (Texas State Library & Archives Commisssion)</a></b>

<b><a href=""http://images.google.ca/images?q=Quanah+Parker&ie=UTF-8&oe=UTF-8&hl=en&btnG=Google+Search

"" target=""blank"">Quanah Parker Images  (via Google)</a></b>

<b><a href=""http://americanindian.net/links12comanche.html"" target=""blank"">Commanche Indian Websites  (Phil Konstantin)</a></b>

<b><a href=""http://www.nmnh.si.edu/naa/kiowa/ft_marion.htm"" target=""blank"">After the Red River War: Kiowa ""Art"" In Captivity, Ft. Marion, Florida (National Anthropological Archives)</a></b>

<b><a href=""http://home.epix.net/~landis/ftmarion.html"" target=""blank"">Exiled Indians: The Prisoners of Ft. Marion, 1875-1878</a></b>

<b><a href=""http://home.epix.net/~landis/histry.html"" target=""blank"">From Defeat on the Plains to the Carlisle Indian School</a></b>

<b><a href=""http://www.nmnh.si.edu/naa/squint_eyes/squint_eyes.htm"" target=""blank"">A Cheyenne Captive at the Smithsonian Institute</a></b>

<b><a href=""http://www.cartermuseum.org/collections/smith/collection.php?mcat=6&scat=16"" target=""blank"">Ode to ""Open Plains Ranching""</a></b><br>Erwin E. Smith's stunning photo albums of JA ranch life (1906).",,,,,NULL,
125,2007-01-26 16:33:17,2007-02-05 12:16:25,Mrs. Adair's Good Works,,"Mrs. Cornelia Ritchie Adair's kindly local reputation in Texas is largely based on some public works. For one thing, she wasn't John Adair, whose arrogance turns off the cowboys and partner Charles Goodnight alike. Adair dies in St. Louis in 1885. In 1888, she founds ""Saint's Roost"" in Clarendon, on the other end of the canyon, as a place where her alcoholic cowboys might return to sobriety, as well as an early-day YMCA. In 1910, the site develops into the Adair Hospital. Today, the name ""Adair"" overhangs the entrance of the Saint's Roost Museum, within the former hospital building.",,,,,125_t.jpg,
128,2007-01-27 12:54:29,2007-03-12 12:10:12,"Quanah Parker (""The Last Commanche Chief"")",,"Quanah Parker is a young Quohadi leader among the Indian bands that bolt from the reservation to renew free lives in Palo Duro Canyon. After escaping Mackenzie's attack and round up on September 28, 1874, his band becomes the last holdout against the Army's relentless winter campaign. On the edge of starvation, Quanah's sruviving band members surrender themselves at Ft. Sill (Oklahoma) on June 2, 1875. As he adapted and flourished, Quanah became a nationwide celebrity under the rubric, ""The Last Commanche Chief.""",,,,,128_t.gif,
129,2007-01-27 13:23:07,2007-01-27 13:25:15,Bad Hand,,"Ranald ""Bad Hand"" Mackezie was the primary scourge and pursuer of Indians in the Red River War. He ordered his men to destroy over 1500 captured horses in Tule Canyon, breaking the military capability, if not identity of the Commanches. With near karmic precision, he suffers a psychic breakdown on the eve of his wedding, only to spend the rest of his last days in a New York asylum. Mackenzie is buried in the cemetery at West Point.",,,,,129_t.jpg,
130,2007-01-27 13:27:52,2007-01-27 13:29:04,Lone Wolf,,A great Kiowa chief and co-leader of the resistance to the Army's assault on Plains Indians in 1874.,,,,,130_t.jpg,
131,2007-01-27 16:11:52,2007-04-25 01:16:31,Free Scenes by Unfree Artists,,"After the Red River War, 72 Indians (Commanche, Kiowa and Cheyenne) are designated ""the ringleaders"" of the revolt against the reservations. In a <i>reverse</i> Trail of Tears, they are taken to Ft. Marion, St. Augustine, Florida. Some draw such compelling images of their free lives, including the Red River War, on ledger paper. The images (known as Kiowa ledger art) are part of a special assimilation program conducted by Army Colonel Richard Henry Pratt. They are bought up as collectibles by New England Victorian tourists, some becoming valuable assets. In 1878, many of the ""rehabilitated"" Indians are released and returned home. The next year (1879), Pratt goes on to start the famed Carlisle (Pa.) Indian School; whose motto was ""Kill the Indian, (to) Save the Man.""  In sum: while two Victorians are taking over in the Palo Duro, the children of its dislodged Indians are being taught to become Victorians.",,,,,131_t.jpg,
174,2007-02-14 21:49:02,2007-02-14 21:51:33,The Experiment at Ft Marion,,"Portrait of the Indians in captivity at Ft. Marion, brought there by Capt. Richard Pratt in the aftermath of the Red River War. Pratt's experiment at Ft. Marion led to the funding and establishment of the Carlisle Indian School, a place to ""humanize"" Indians. Pratt's motto: ""Kill the Indian inside, to save the Man."" (Hampton University Archive)",,,,,174_t.jpg,
133,2007-01-28 08:19:14,2007-01-28 08:24:07,At the Near Edge of History,,Two miles across the barbed wire from this mailbox lies the section of Tule Canyon where Col. Mackenzie ordered the extermination of at least 1500 captured Commanche horses after attacking and driving the Indians from neighboring Palo Duro Canyon.,,,,,133_t.jpg,
134,2007-01-28 08:29:01,2007-01-28 08:33:57,At the Far Side of History,,"A solarized take on the shockwaves unleashed on Commancheria and other Plains Indians by Mackenzie's destruction of over 1500 Commanches, just two miles across the fields in Palo Duro Canyon. After breaking the back of the Indian revolt, most returned to the reservation, ending their free lives on the Southern Plains. By so ""pacifying"" the region, land surveys could ensue or continue and ranches, like Adair's JA Ranch, be founded.",,,,,134_t.jpg,
135,2007-01-28 09:50:59,2007-04-08 09:31:14,Savior of the Buffalo?,,"Charles Goodnight is called the Savior of the Buffalo in places like this display at the Saint's Roost Museum in Clarendon, Texas. Some differ, citing the explosion of cattle ranching, championed by players like Goodnight and Adair (and railroad investors), as near destroyers of the species. Others attribute the saving of the JA group to Goodnight's wife Molly (Mary Ann Dyer). Goodnight crossbred them with buffalo to produce cattalo. Other contenders, like the uber trophy-hunter Teddy Roosevelt, are more widely thought of as the buffalo's savior. And, for its part, the world-famous Bronx Zoo (Bronx, NY) restarted a herd in 1899, where some descendants reside to this day. In 1998, the State of Texas agreed to pay the JA for the transfer of its last 50-70 pure bred (98% pure) Goodnight-JA Ranch herd to nearby Caprock Canyon State Park, where they comprise the official state herd. Because the bison kept busting its fences, the JA Manager decided their time there had come to an end.  (""Burbank"" refers to Luther Burbank, the pioneering American botanist.)",,,,,135_t.jpg,
